# OLD VERSION<tab>OLD RETURN<tab>OLD NAME<tab>OLD ARGS<tab>NEW VERSION<tab>NEW RETURN<tab>NEW NAME<tab>NEW ARGS<tab>NOTES
# OLD VERSION<tab>type<tab>OLD NAME<tab>-<tab>NEW VERSION<tab>type<tab>NEW NAME<tab>-<tab>NOTES
# OLD VERSION<tab>enum<tab>OLD NAME<tab>-<tab>NEW VERSION<tab>type<tab>NEW NAME<tab>-<tab>NOTES
#
# Functions
#
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_FROM_UNIXTIME	-	Expression for LAQRS FROM_UNIXTIME(int)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_TO_UNIXTIME	-	Expression for LAQRS TO_UNIXTIME(datetime)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_CONCAT	-	Expression for SPARQL 1.1 CONCAT(strings)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_STRLEN	-	Expression for SPARQL 1.1 STRLEN(str)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_SUBSTR	-	Expression for SPARQL 1.1 SUBSTR(str, start[,offset])
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_UCASE	-	Expression for SPARQL 1.1 UCASE(str)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_LCASE	-	Expression for SPARQL 1.1 LCASE(str)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_STRSTARTS	-	Expression for SPARQL 1.1 STRSTARTS(str, str)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_STRENDS	-	Expression for SPARQL 1.1 STRENDS(str, str)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_CONTAINS	-	Expression for SPARQL 1.1 CONTAINS(str, str)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_EXPR_ENCODE_FOR_URI	-	Expression for SPARQL 1.1 ENCODE_FOR_URI(str)
0.9.21	enum	-	-	0.9.22	enum	RASQAL_QUERY_RESULTS_UNKNOWN	-	Unknown result format type
0.9.21	enum	-	-	0.9.22	enum	RASQAL_QUERY_RESULTS_FORMAT_FLAG_READER	-	Bitflag for rasqal_query_results_formats_check() to request formats that can be read.
0.9.21	enum	-	-	0.9.22	enum	RASQAL_QUERY_RESULTS_FORMAT_FLAG_WRITER	-	Bitflag for rasqal_query_results_formats_check() to request formats that can be written.
